subjects,S,condition,R,rt
3,left,intoxicated,right,0.557210422
3,left,intoxicated,right,0.506869208
3,left,intoxicated,right,0.533797805
3,left,hangover,right,0.491879417
3,right,intoxicated,right,0.565863038
3,right,intoxicated,right,0.60052825
3,right,hangover,right,0.613192931
3,right,hangover,right,0.713800227
3,right,hangover,right,0.543810703
3,left,hangover,left,0.596485333
3,left,intoxicated,right,0.626844843
3,left,hangover,right,0.569103954
3,right,intoxicated,right,0.530922156
3,left,hangover,right,0.519297436
3,left,hangover,left,0.581208431
3,left,intoxicated,right,0.540150301
3,right,hangover,right,0.515786809
3,right,intoxicated,right,0.56291016
3,left,intoxicated,left,0.679002757
3,left,hangover,left,0.543485248
3,right,intoxicated,left,0.854451866
3,left,intoxicated,left,0.551289187
3,right,hangover,right,0.572201601
3,left,hangover,left,0.570595312
3,right,intoxicated,right,0.54586453
3,left,hangover,left,0.499871761
3,left,intoxicated,right,0.504485539
3,right,intoxicated,right,0.538111908
3,right,intoxicated,right,0.582436346
3,right,intoxicated,right,0.538475879
3,right,intoxicated,left,0.564639666
3,left,hangover,right,0.513913157
3,right,hangover,left,0.538888408
3,right,intoxicated,left,0.500834551
3,left,hangover,right,0.646426235
3,left,intoxicated,right,0.589285783
3,left,intoxicated,left,0.568312094
3,right,hangover,right,0.525227253
3,right,intoxicated,right,0.579372464
3,left,hangover,left,0.661213975
3,right,hangover,left,0.56002863
3,left,intoxicated,right,0.657853566
3,right,hangover,right,0.747747664
3,right,intoxicated,right,0.548240649
3,left,hangover,left,0.599152871
3,right,intoxicated,right,0.548644814
3,right,intoxicated,left,0.777802598
3,right,hangover,right,0.510888895
3,right,hangover,left,0.500629485
3,right,intoxicated,right,0.521531655
3,left,hangover,left,0.52438177
3,right,intoxicated,right,0.506878855
3,right,hangover,right,0.602877325
3,left,hangover,right,0.581712391
3,left,intoxicated,right,0.560362508
3,left,intoxicated,left,0.503238388
3,left,intoxicated,left,0.661322357
3,left,intoxicated,left,0.625918864
3,right,intoxicated,right,0.61062722
3,left,intoxicated,left,0.530283244
3,right,intoxicated,right,0.569921949
3,right,hangover,right,0.533526518
3,left,intoxicated,left,0.619809364
3,right,hangover,left,0.594410306
3,right,hangover,right,0.569381791
3,left,hangover,left,0.567028503
3,right,hangover,right,0.55320028
3,left,hangover,left,0.596349245
3,left,intoxicated,left,0.513023076
3,left,intoxicated,left,0.521386547
3,right,hangover,right,0.601687311
3,right,intoxicated,right,0.585335244
3,left,hangover,right,0.581610485
3,right,intoxicated,right,0.560262084
3,right,hangover,left,0.572567319
3,left,hangover,left,0.537547948
3,right,intoxicated,right,0.538301541
3,left,intoxicated,left,0.519520747
3,right,intoxicated,right,0.603798743
3,left,intoxicated,left,0.563567495
3,right,hangover,left,0.520578046
3,right,intoxicated,right,0.5193388
3,left,intoxicated,right,0.509065706
3,left,hangover,left,0.767256503
3,right,intoxicated,right,0.545849097
3,right,intoxicated,right,0.53549547
3,right,hangover,left,0.613562802
3,left,hangover,right,0.510254533
3,right,hangover,right,0.499936822
3,left,intoxicated,left,0.541918867
3,right,hangover,right,0.52004932
3,left,hangover,right,0.527898756
3,left,hangover,right,0.539242362
3,left,intoxicated,left,0.511866727
3,left,hangover,left,0.545531046
3,right,intoxicated,right,0.731226117
3,left,hangover,left,0.564616086
3,right,intoxicated,right,0.664723275
3,left,intoxicated,right,0.802531709
3,left,intoxicated,left,0.729736931
3,left,hangover,right,0.528364968
3,right,intoxicated,right,0.552618658
3,left,intoxicated,left,0.549566003
3,right,hangover,right,0.555679966
3,left,intoxicated,left,0.511821173
3,left,hangover,right,0.578571981
3,right,hangover,left,0.553166884
3,right,intoxicated,right,0.539960599
3,left,hangover,right,0.682164623
3,right,hangover,left,0.551136332
3,left,intoxicated,left,0.55817897
3,right,intoxicated,right,0.500456739
3,left,intoxicated,right,0.566723076
3,right,intoxicated,right,0.542041032
3,right,intoxicated,right,0.652928571
3,right,intoxicated,right,0.60059034
3,right,hangover,left,0.501707657
4,right,intoxicated,left,0.857158947
4,left,hangover,left,0.828919326
4,left,intoxicated,left,0.821970967
4,right,hangover,left,0.619690054
4,right,intoxicated,right,0.668970639
4,left,hangover,left,0.885710195
4,right,intoxicated,right,0.928456301
4,left,intoxicated,left,1.140094199
4,right,hangover,left,0.817034503
4,left,intoxicated,left,1.217617656
4,right,hangover,right,0.640260894
4,right,hangover,left,0.985752183
4,right,hangover,right,0.992620432
4,left,intoxicated,left,0.62201508
4,left,intoxicated,right,0.613791684
4,right,intoxicated,right,0.691872432
4,left,intoxicated,right,0.645849138
4,right,hangover,right,1.146959289
4,right,hangover,left,0.7517075
4,right,hangover,right,0.642194739
4,left,hangover,left,0.926658586
4,right,hangover,left,1.115834652
4,right,intoxicated,right,0.921367526
4,right,hangover,left,0.624412517
4,left,hangover,left,0.650080766
4,left,intoxicated,right,0.87635285
4,left,hangover,left,0.751959181
4,left,intoxicated,left,0.710768041
4,left,intoxicated,left,0.91727902
4,left,hangover,left,0.660595279
4,right,intoxicated,right,0.661290886
4,left,hangover,left,0.757776837
4,right,intoxicated,right,0.598309363
4,left,hangover,right,0.723308747
4,left,hangover,left,0.75250389
4,left,hangover,left,0.970850279
4,left,hangover,left,0.631806935
4,left,intoxicated,left,0.614643217
4,left,hangover,left,0.683620801
4,right,hangover,left,0.930029594
4,right,hangover,left,0.727011497
4,left,intoxicated,right,0.690029729
4,left,intoxicated,left,0.670450238
4,left,intoxicated,right,1.099895217
4,right,intoxicated,right,0.97468807
4,right,hangover,left,0.634970703
4,left,intoxicated,left,0.735510523
4,right,intoxicated,right,0.907868722
4,right,intoxicated,right,0.787671341
4,left,hangover,left,0.696001756
4,right,hangover,left,0.747388564
4,left,hangover,left,0.718555004
4,right,hangover,left,0.754357192
4,left,hangover,left,1.609944003
4,left,hangover,left,0.612881123
4,right,hangover,right,0.687142492
4,left,hangover,left,1.294267598
4,left,hangover,right,0.769258844
4,right,hangover,right,0.772135291
4,left,intoxicated,left,0.861548692
4,left,hangover,left,0.821817644
4,right,intoxicated,left,0.929164641
4,left,intoxicated,left,1.01103603
4,right,intoxicated,right,0.874668994
4,left,intoxicated,left,0.813659621
4,right,intoxicated,right,0.837381129
4,right,hangover,left,0.669352412
4,left,intoxicated,left,1.036102732
4,left,intoxicated,left,0.720260182
4,right,hangover,right,0.664935848
4,left,intoxicated,right,0.729015114
4,left,hangover,left,0.716751409
4,right,intoxicated,right,0.987692685
4,right,hangover,right,0.77887925
4,left,intoxicated,left,0.711504771
4,right,intoxicated,left,0.795734185
4,left,hangover,left,0.801238654
4,left,hangover,right,0.847050283
4,left,hangover,right,1.084197457
4,right,intoxicated,left,1.465434893
4,left,intoxicated,right,0.639846691
4,left,hangover,right,0.81088243
4,right,intoxicated,right,0.834023509
4,left,intoxicated,left,0.621640759
4,right,intoxicated,right,1.208118275
4,right,intoxicated,right,0.841287535
4,left,hangover,right,1.049028879
4,left,hangover,left,0.700597556
4,left,intoxicated,right,1.231741755
4,left,hangover,left,0.73809184
4,right,intoxicated,right,0.752585815
4,left,intoxicated,left,0.705059311
4,right,hangover,left,0.898227623
4,left,hangover,left,0.834354701
4,right,hangover,right,0.718646905
4,left,intoxicated,left,0.627611352
4,right,hangover,right,0.647800136
4,left,intoxicated,left,0.986138781
4,right,intoxicated,right,0.702063901
4,right,intoxicated,right,0.79341117
4,left,intoxicated,right,0.596895784
4,left,hangover,right,0.726812778
4,left,intoxicated,left,0.694947602
4,right,intoxicated,left,0.665262455
4,right,hangover,left,0.667112771
4,left,hangover,left,0.598375724
4,right,intoxicated,right,0.966786148
4,left,hangover,left,0.725806084
4,left,intoxicated,left,0.643102897
4,right,hangover,left,1.039856016
4,right,hangover,right,0.765420212
4,right,hangover,right,1.084691801
4,left,hangover,right,0.921408819
4,right,hangover,left,0.839678855
4,left,hangover,right,0.810239204
4,left,intoxicated,left,1.048263444
4,left,hangover,left,0.701679809
4,right,hangover,left,0.926331729
4,right,hangover,right,0.831932552
4,right,hangover,left,1.243047857
4,right,hangover,right,0.687564588
4,right,hangover,right,0.989525006
4,right,hangover,left,0.620171983
4,right,intoxicated,right,0.713094287
4,left,intoxicated,right,0.794553161
4,right,intoxicated,right,1.036797824
4,left,intoxicated,right,0.699868565
4,left,hangover,right,0.952152245
4,left,hangover,right,0.987418102
4,right,intoxicated,right,0.853989467
4,right,intoxicated,right,0.638480718
4,right,hangover,left,0.639038252
4,left,intoxicated,left,0.673192931
4,left,hangover,left,0.984855939
4,left,hangover,left,0.748368518
4,right,hangover,right,0.828834815
4,left,intoxicated,left,0.616947084
4,left,hangover,left,1.035726911
4,right,hangover,right,0.701381229
4,right,hangover,right,0.733003948
4,right,hangover,right,0.714443267
4,left,hangover,left,0.756303611
4,right,intoxicated,right,0.69402475
4,left,hangover,right,0.639876583
4,right,hangover,right,1.187809213
4,left,hangover,left,0.645040331
4,left,intoxicated,left,1.036689463
4,right,hangover,right,0.67785802
4,right,hangover,right,0.800423464
4,right,intoxicated,left,0.65932672
4,left,intoxicated,left,0.71965707
4,left,intoxicated,right,0.729991366
4,right,hangover,left,1.030918692
4,right,hangover,right,0.77863642
4,right,intoxicated,right,0.966610808
4,right,hangover,right,0.895919301
4,right,intoxicated,right,0.669308979
4,right,hangover,right,0.613645915
4,left,hangover,right,0.69399506
4,right,intoxicated,right,1.029097261
4,right,hangover,left,0.821677378
4,left,intoxicated,left,0.623657213
4,left,intoxicated,left,0.876437127
4,right,hangover,right,0.770255567
4,left,intoxicated,left,0.736211666
4,right,hangover,left,0.618877385
4,right,hangover,right,0.619961281
4,right,hangover,right,1.474891997
4,right,hangover,right,0.799959488
4,right,intoxicated,left,0.646348484
4,left,hangover,left,0.793746545
4,right,hangover,right,0.627185638
4,right,intoxicated,right,0.608574944
4,right,intoxicated,right,1.071170742
4,right,intoxicated,left,0.893979893
4,right,intoxicated,right,0.679791407
4,right,intoxicated,right,0.661644576
4,left,intoxicated,right,0.666928857
4,left,intoxicated,left,0.686964689
4,right,intoxicated,right,0.717273394
4,left,hangover,left,0.979463322
4,left,hangover,left,1.026300529
4,right,intoxicated,right,0.759763709
4,right,intoxicated,right,0.614840083
4,left,hangover,left,0.740870961
4,left,intoxicated,right,0.813957046
4,right,intoxicated,left,0.661450334
4,right,intoxicated,left,0.859412791
4,right,hangover,left,0.706053062
4,left,intoxicated,right,0.908331565
4,right,intoxicated,right,0.833464042
4,right,hangover,right,0.615108994
4,right,hangover,right,1.085304956
4,left,hangover,right,0.900823586
4,left,hangover,left,0.639046414
4,left,intoxicated,left,0.72249623
4,left,intoxicated,left,1.108172668
4,left,intoxicated,left,0.689990181
4,left,hangover,left,1.101736214
4,right,intoxicated,right,0.844104466
4,right,intoxicated,right,0.943130213
4,right,hangover,right,0.668399454
4,left,intoxicated,left,0.769195176
4,right,intoxicated,right,0.705584455
4,right,intoxicated,right,0.771123978
4,right,intoxicated,right,0.660163413
4,right,intoxicated,left,0.658245391
4,left,hangover,right,0.677088322
4,right,intoxicated,right,0.747396583
4,right,intoxicated,right,0.687578921
4,left,intoxicated,left,0.714171947
4,left,intoxicated,left,0.714201103
4,left,hangover,left,0.647395847
4,right,intoxicated,right,0.780891022
4,left,intoxicated,left,0.740825868
4,left,hangover,left,0.833375695
4,left,hangover,left,1.198535958
4,left,intoxicated,left,0.788982657
4,left,hangover,left,0.650823451
4,left,hangover,left,0.782934344
4,left,hangover,left,0.900041999
4,left,intoxicated,left,0.987967576
4,right,intoxicated,left,0.801157096
4,left,intoxicated,left,0.982174925
4,left,hangover,right,1.012959101
4,left,intoxicated,right,0.721574712
4,left,hangover,right,0.846470089
4,right,hangover,right,0.62773654
4,left,intoxicated,left,0.701601432
4,left,hangover,left,0.66903285
4,right,hangover,right,1.023340148
4,left,intoxicated,right,0.741508664
4,left,intoxicated,left,0.839103822
4,right,intoxicated,left,0.70537138
4,right,hangover,left,0.908324409
4,left,intoxicated,left,0.662490719
4,left,intoxicated,left,0.890066376
4,right,hangover,right,0.827121827
4,right,hangover,left,1.177073681
4,right,hangover,right,0.911472405
4,right,hangover,right,1.257860772
4,left,hangover,right,0.753598991
4,left,hangover,left,0.621609405
4,right,hangover,right,1.181682875
4,right,intoxicated,right,0.761714726
4,right,intoxicated,right,0.737277834
4,right,intoxicated,right,1.187350156
4,right,hangover,left,0.725885771
4,right,intoxicated,right,0.908400063
4,left,intoxicated,left,1.00894258
4,left,intoxicated,right,0.795927251
4,left,intoxicated,right,0.724921381
4,right,intoxicated,left,1.015287197
4,right,hangover,left,0.701242752
4,left,intoxicated,right,0.884722945
4,right,hangover,left,0.804955475
4,left,hangover,right,0.671532706
4,left,intoxicated,left,0.804195042
4,right,intoxicated,left,0.635464403
4,left,hangover,left,0.714134854
4,right,intoxicated,right,0.681999763
4,right,hangover,right,0.696686741
4,left,intoxicated,left,0.990049483
4,right,hangover,left,0.629167074
4,right,intoxicated,right,0.879929013
4,left,intoxicated,left,0.673882005
4,right,intoxicated,left,0.801843016
4,right,hangover,left,0.620691107
4,left,hangover,right,0.709597002
4,left,intoxicated,right,0.62431204
4,right,hangover,left,0.679001745
4,left,intoxicated,left,0.730308488
4,left,intoxicated,left,0.699217876
4,right,hangover,right,0.959799429
4,right,intoxicated,right,1.011014775
4,left,intoxicated,right,0.615892102
4,right,intoxicated,right,0.720051823
4,left,intoxicated,left,0.663152564
4,right,intoxicated,right,0.716308418
4,right,hangover,right,1.576792461
4,left,hangover,left,0.689376804
4,left,intoxicated,right,0.728169007
4,left,intoxicated,left,0.983670762
4,right,intoxicated,left,0.84139272
4,left,hangover,left,0.922878479
4,right,hangover,right,0.63861602
4,right,hangover,right,1.099297359
4,right,hangover,left,0.691921132
4,left,hangover,right,0.832321424
4,left,hangover,left,0.704453514
4,right,intoxicated,left,0.681279887
4,left,intoxicated,left,0.63396854
4,left,hangover,right,0.790442127
4,left,hangover,left,0.883646173
4,left,hangover,right,0.827823857
4,left,intoxicated,right,0.636303276
4,left,hangover,left,0.767701112
4,right,intoxicated,left,0.745256284
4,left,intoxicated,right,0.740257542
4,right,hangover,right,0.974051558
4,left,hangover,left,0.834591728
4,left,intoxicated,left,0.852435259
4,left,hangover,left,0.770406209
4,left,hangover,right,1.224623357
4,left,hangover,right,0.77424513
4,left,intoxicated,left,0.744283978
4,right,hangover,right,1.088475722
4,right,hangover,left,0.800433422
4,right,intoxicated,right,0.663272585
4,right,intoxicated,left,0.74271213
4,left,intoxicated,left,0.678350693
4,right,hangover,left,0.766936417
4,left,hangover,right,0.649851942
4,right,hangover,right,0.691435817
4,left,hangover,right,0.639526338
4,left,hangover,left,0.684973942
4,left,hangover,right,0.629211013
4,right,intoxicated,right,0.866293057
4,left,intoxicated,right,0.719208317
4,right,intoxicated,right,0.77350689
4,right,hangover,right,0.626474801
4,right,hangover,right,0.953337359
4,right,intoxicated,left,0.784882659
4,right,hangover,right,0.701600319
4,left,intoxicated,left,0.768845425
4,right,intoxicated,right,0.634922307
4,right,intoxicated,right,0.609126539
4,right,intoxicated,right,0.653086135
4,right,intoxicated,right,0.932567427
4,right,hangover,right,0.609802287
4,left,intoxicated,left,0.624577551
4,left,hangover,left,0.830097683
4,left,intoxicated,left,0.874306948
4,left,intoxicated,left,0.857109432
4,left,intoxicated,right,0.700073185
4,right,intoxicated,right,0.657288334
4,left,intoxicated,right,1.321924961
4,left,intoxicated,left,0.785324347
4,right,hangover,right,0.967969766
4,left,hangover,left,0.700090669
4,left,hangover,right,0.707528564
4,left,intoxicated,right,0.747641093
4,left,hangover,left,0.782915511
4,left,hangover,right,0.650223608
4,left,intoxicated,left,0.683690271
4,right,intoxicated,right,0.662007481
4,left,intoxicated,left,0.740151498
4,left,hangover,left,0.989927214
4,left,intoxicated,left,1.020249012
4,left,intoxicated,right,0.649530093
4,right,hangover,left,0.800467049
4,left,hangover,left,1.070893532
4,right,intoxicated,right,0.973555304
4,left,hangover,right,0.980686477
4,right,hangover,right,0.688012103
4,right,hangover,left,0.859819062
4,left,hangover,right,0.641665676
4,right,hangover,right,0.678574708
4,left,intoxicated,left,0.663478499
4,left,intoxicated,left,0.697825638
4,right,intoxicated,right,0.71761951
4,left,hangover,left,0.701674807
4,left,intoxicated,left,0.719141331
4,left,hangover,right,0.718696812
4,left,hangover,right,0.684671112
4,right,intoxicated,right,0.742497327
4,right,intoxicated,right,0.800936085
4,right,intoxicated,left,0.940206167
4,left,hangover,left,0.721718687
4,right,hangover,left,0.804482539
4,right,intoxicated,right,0.724702987
4,left,intoxicated,left,0.917231493
4,right,intoxicated,right,0.842919934
4,left,intoxicated,left,0.818304374
4,right,intoxicated,left,0.722335589
4,right,intoxicated,right,0.66929897
4,left,hangover,left,0.635256619
4,left,hangover,left,0.603058928
4,right,hangover,right,0.939306426
4,left,intoxicated,right,1.334431788
4,right,intoxicated,left,0.739714251
4,right,intoxicated,right,0.808001815
4,right,hangover,right,1.347036809
4,right,intoxicated,right,0.923259796
4,right,hangover,right,0.672568119
4,left,hangover,right,0.658405281
4,left,intoxicated,left,0.650365298
4,left,hangover,left,0.788823321
4,left,intoxicated,left,1.214700907
4,left,hangover,left,0.712573368
4,right,intoxicated,right,0.705726693
4,left,intoxicated,left,0.964752488
4,left,hangover,left,0.795947583
4,left,intoxicated,left,0.725968903
4,right,intoxicated,right,1.165607996
4,right,intoxicated,right,0.794509518
4,left,hangover,left,0.64755726
4,right,hangover,right,0.893162297
4,right,intoxicated,left,0.686122097
4,right,hangover,right,0.978085454
4,right,hangover,right,0.878478234
4,left,hangover,left,0.619877365
4,right,intoxicated,right,1.083851334
4,left,intoxicated,left,0.685061598
4,right,intoxicated,left,0.641911876
4,right,intoxicated,right,0.793237324
4,left,intoxicated,left,0.804991441
4,left,intoxicated,left,1.010091503
4,right,hangover,left,0.620753065
4,left,intoxicated,left,0.651722632
4,right,hangover,right,0.937720584
4,right,intoxicated,right,0.762567152
4,right,hangover,right,0.690922855
4,right,intoxicated,right,0.823600783
4,right,hangover,right,0.731345507
4,left,intoxicated,right,0.883525677
4,left,intoxicated,left,0.611862732
4,left,intoxicated,left,0.898355104
4,left,hangover,left,0.832539008
4,left,hangover,left,1.051803276
4,right,hangover,left,0.858970825
4,right,intoxicated,right,0.6734539
4,right,hangover,right,0.599672998
4,right,hangover,right,0.718592337
4,right,hangover,left,0.75410148
4,right,intoxicated,right,0.660215875
4,left,hangover,left,0.749876408
4,right,hangover,right,0.68398689
4,left,intoxicated,left,0.798730082
4,left,hangover,right,1.222007115
4,right,hangover,left,0.617103961
4,left,hangover,left,0.965609419
4,left,hangover,left,1.018273181
4,right,hangover,left,0.700864047
4,left,hangover,left,0.978905374
4,right,intoxicated,right,1.048143349
4,right,intoxicated,right,0.812757537
4,left,hangover,left,0.762122721
4,right,hangover,right,0.646286421
4,left,hangover,left,0.994377579
4,right,hangover,right,0.83673887
4,right,hangover,right,1.017419431
4,left,hangover,right,1.140614838
4,left,hangover,right,1.01313103
4,right,hangover,right,0.81899577
4,right,intoxicated,left,0.686877595
4,left,hangover,right,0.65064926
4,right,intoxicated,right,0.711762523
4,right,intoxicated,left,0.898757163
4,left,intoxicated,left,0.64889176
4,left,intoxicated,left,0.864667916
4,right,intoxicated,right,0.738808275
4,right,intoxicated,right,0.743391544
4,right,intoxicated,right,0.77730512
4,right,intoxicated,left,1.01551194
4,right,hangover,right,1.076163424
4,right,intoxicated,right,0.622773017
4,left,intoxicated,right,0.667008362
4,left,hangover,right,0.670932299
4,right,hangover,right,0.70167219
5,left,hangover,left,0.280012042
5,right,intoxicated,left,0.314025773
5,left,hangover,right,0.188148463
5,left,intoxicated,left,0.258691958
5,right,hangover,right,0.203141697
5,right,hangover,right,0.292528181
5,left,intoxicated,left,0.240738892
5,left,hangover,right,0.21256158
5,left,hangover,left,0.251324366
5,right,intoxicated,right,0.207881922
5,right,intoxicated,left,0.247310485
5,right,intoxicated,right,0.188124972
5,left,intoxicated,right,0.250495518
5,right,intoxicated,left,0.223637391
5,right,hangover,left,0.314234839
5,left,hangover,left,0.316829719
5,right,intoxicated,right,0.197828401
5,right,intoxicated,left,0.210355996
5,left,intoxicated,left,0.3010328
5,left,intoxicated,left,0.182785393
5,left,intoxicated,right,0.178973906
5,left,hangover,right,0.20427332
5,left,intoxicated,left,0.201406531
5,right,intoxicated,right,0.264865548
5,right,hangover,right,0.364168211
5,left,hangover,right,0.226006439
5,left,hangover,left,0.330258739
5,left,intoxicated,right,0.277519241
5,right,hangover,left,0.171752581
5,left,hangover,left,0.348716217
5,right,hangover,right,0.246501891
5,right,intoxicated,right,0.1658576
5,left,hangover,right,0.188951348
5,right,intoxicated,right,0.166030575
5,right,hangover,left,0.215265678
5,left,intoxicated,right,0.184427042
5,left,hangover,left,0.441411169
5,left,hangover,left,0.231657848
5,left,hangover,left,0.167077439
5,right,hangover,left,0.392327137
5,left,hangover,right,0.268671614
5,left,hangover,left,0.196109358
5,left,intoxicated,left,0.425165059
5,right,intoxicated,right,0.17314948
5,right,intoxicated,right,0.207220127
5,right,intoxicated,right,0.254531107
5,left,intoxicated,left,0.20048046
5,right,intoxicated,left,0.325809582
5,right,hangover,right,0.167563837
5,right,intoxicated,left,0.201092934
5,left,intoxicated,right,0.177111782
5,left,intoxicated,left,0.279466281
5,left,hangover,left,0.239367334
5,left,hangover,right,0.197538428
5,right,intoxicated,right,0.225152117
5,right,intoxicated,right,0.20931016
5,right,hangover,right,0.354783341
5,left,hangover,left,0.285849943
5,left,hangover,right,0.185746203
5,right,intoxicated,right,0.20749773
5,left,hangover,left,0.238765606
5,left,intoxicated,left,0.197048093
5,right,hangover,left,0.235861292
5,right,intoxicated,right,0.220583879
5,right,intoxicated,left,0.248340306
5,left,hangover,left,0.34412629
5,left,intoxicated,left,0.197155193
5,right,intoxicated,right,0.323029075
5,right,intoxicated,left,0.271567051
5,left,hangover,left,0.236628411
5,right,intoxicated,right,0.304226589
5,left,hangover,right,0.294049565
5,right,hangover,right,0.333943702
5,left,hangover,right,0.281961738
5,right,hangover,right,0.174144237
5,left,intoxicated,right,0.263665159
5,right,intoxicated,left,0.26020593
5,left,intoxicated,left,0.190070174
5,left,intoxicated,right,0.277884489
5,right,intoxicated,right,0.259791741
5,left,intoxicated,left,0.174141725
5,right,intoxicated,left,0.465574305
5,left,intoxicated,left,0.275433443
5,right,intoxicated,right,0.476612404
5,left,intoxicated,left,0.165974169
5,left,hangover,left,0.208112144
5,right,intoxicated,right,0.168864118
5,left,intoxicated,left,0.29929469
5,right,hangover,left,0.191461045
5,left,intoxicated,left,0.286396237
5,left,intoxicated,left,0.179639214
5,right,intoxicated,right,0.18103968
5,left,hangover,right,0.181494933
5,right,intoxicated,right,0.172499837
5,left,hangover,right,0.204818591
5,left,intoxicated,right,0.280420027
5,right,intoxicated,right,0.233615178
5,right,hangover,right,0.23089123
5,right,hangover,left,0.17358657
5,left,hangover,left,0.300614165
5,left,hangover,left,0.211192764
5,left,intoxicated,right,0.261346954
5,left,intoxicated,right,0.178660305
5,right,intoxicated,left,0.242896855
5,right,intoxicated,left,0.439470022
5,left,hangover,left,0.2163118
5,right,hangover,right,0.341898095
5,left,hangover,right,0.300280999
5,right,intoxicated,left,0.165492656
5,right,hangover,right,0.611427394
5,left,intoxicated,right,0.197428862
5,right,hangover,right,0.199475266
5,left,hangover,right,0.201000822
5,left,hangover,left,0.216400123
5,left,intoxicated,left,0.162623836
5,left,intoxicated,right,0.282052269
5,right,intoxicated,right,0.281690968
5,left,intoxicated,left,0.217659097
5,left,intoxicated,left,0.279918988
5,right,hangover,left,0.180184854
5,left,hangover,left,0.51629005
5,right,hangover,left,0.224190012
5,left,intoxicated,left,0.326232666
5,right,intoxicated,left,0.179713428
5,left,hangover,right,0.22987373
5,left,hangover,left,0.186266911
5,right,intoxicated,right,0.199197942
5,left,hangover,left,0.251151646
5,left,intoxicated,left,0.173680242
5,right,hangover,right,0.235599936
5,left,hangover,left,0.282234922
5,left,intoxicated,right,0.197851959
5,right,intoxicated,left,0.198374458
5,left,hangover,left,0.196284128
5,right,hangover,right,0.228029703
5,left,intoxicated,left,0.235929735
5,right,hangover,left,0.273264509
5,left,hangover,left,0.468089913
5,right,hangover,right,0.277861338
5,right,hangover,right,0.210930737
5,right,intoxicated,right,0.235381716
5,right,hangover,right,0.163819933
5,left,hangover,right,0.249447422
5,right,intoxicated,right,0.36078502
5,right,intoxicated,left,0.347381848
5,right,intoxicated,right,0.207708207
5,right,intoxicated,left,0.200185315
5,left,intoxicated,right,0.242590669
5,left,intoxicated,left,0.193170905
5,right,hangover,right,0.210451603
5,right,intoxicated,right,0.290748567
5,right,hangover,right,0.212307387
5,right,hangover,right,0.198579975
5,right,intoxicated,right,0.243232941
5,right,hangover,left,0.200725191
5,left,hangover,left,0.171405092
5,right,intoxicated,right,0.210105164
5,left,hangover,right,0.396338013
5,right,hangover,right,0.217607654
5,right,hangover,right,0.252187772
5,right,intoxicated,left,0.190407587
5,left,hangover,left,0.24175837
5,right,intoxicated,left,0.192761343
5,left,hangover,right,0.225489392
5,right,hangover,left,0.294861633
5,left,hangover,right,0.273700811
5,right,hangover,left,0.180354225
5,left,intoxicated,left,0.179840365
5,right,intoxicated,right,0.251043456
5,left,intoxicated,left,0.280489213
5,right,hangover,right,0.304002831
5,left,hangover,left,0.174357622
5,right,intoxicated,left,0.265309187
5,right,intoxicated,right,0.2354104
5,right,intoxicated,right,0.300278084
5,left,intoxicated,right,0.253269809
5,right,hangover,left,0.261338613
5,left,intoxicated,left,0.170460031
5,left,intoxicated,left,0.307355363
5,right,hangover,right,0.181038695
5,left,intoxicated,right,0.234921805
5,right,hangover,left,0.386290189
5,right,intoxicated,right,0.272083483
5,left,hangover,right,0.376485103
5,left,hangover,right,0.227561947
5,right,intoxicated,left,0.178564608
5,left,intoxicated,left,0.173978497
5,right,intoxicated,left,0.173065404
5,right,intoxicated,right,0.277551673
5,right,hangover,left,0.186851261
5,left,intoxicated,right,0.223872017
5,left,hangover,right,0.254365475
5,right,hangover,left,0.259306849
5,right,hangover,right,0.172275755
5,left,hangover,left,0.230291229
5,left,hangover,right,0.398629718
5,left,intoxicated,left,0.325379766
5,right,hangover,left,0.240664578
5,right,hangover,left,0.246942
5,right,hangover,right,0.40740085
5,right,hangover,right,0.19057571
5,left,intoxicated,left,0.383547451
5,left,hangover,right,0.219452498
5,right,intoxicated,right,0.331270371
5,left,hangover,right,0.532822688
5,left,hangover,left,0.210263536
5,left,intoxicated,left,0.206043819
5,right,intoxicated,right,0.198596703
5,left,intoxicated,right,0.249913788
5,right,hangover,right,0.188970704
5,left,intoxicated,right,0.181197571
5,left,hangover,left,0.173809953
5,right,hangover,left,0.325232769
5,right,intoxicated,right,0.167035733
5,right,intoxicated,right,0.203228443
5,left,intoxicated,right,0.220303565
5,right,hangover,right,0.31847728
5,left,intoxicated,left,0.261954976
5,left,hangover,left,0.23706873
5,left,intoxicated,right,0.236389722
5,left,intoxicated,right,0.457747261
5,left,intoxicated,left,0.199768759
5,right,hangover,right,0.20905161
5,right,intoxicated,right,0.390084507
5,left,intoxicated,left,0.191237286
5,left,intoxicated,left,0.382433378
5,left,intoxicated,right,0.258283161
5,right,hangover,left,0.189485615
5,right,hangover,right,0.221454459
5,left,hangover,left,0.193325684
5,right,intoxicated,right,0.165472006
5,left,hangover,right,0.436367187
5,left,intoxicated,right,0.287359286
5,left,hangover,left,0.237868855
5,left,hangover,left,0.327454593
5,right,hangover,right,0.525567673
5,left,intoxicated,left,0.378395237
5,right,hangover,left,0.28877582
5,right,intoxicated,left,0.265048599
5,left,intoxicated,left,0.196408923
5,right,intoxicated,left,0.193523151
5,right,hangover,right,0.190876328
5,right,hangover,left,0.218686986
5,left,intoxicated,left,0.174655449
